100, 1722, 1248, 
200, 5742, 4128, 
300, 12417, 8878, 
400, 21762, 15508, 
500, 33927, 24118, 
600, 48861, 34674, 
700, 66891, 47394, 
800, 88035, 62290, 
900, 112218, 79312, 
1000, 139482, 98488, 
1100, 169977, 119918, 
1200, 203637, 143558, 
1300, 240816, 169644, 
1400, 281052, 197868, 
1500, 324756, 228504, 
1600, 371541, 261294, 
1700, 421995, 296630, 
1800, 475548, 334132, 
1900, 532737, 374158, 
2000, 593376, 416584, 
2100, 657135, 461190, 
2200, 724560, 508340, 
2300, 795426, 557884, 
2400, 869964, 609976, 
2500, 948030, 664520, 
2600, 1029666, 721544, 
2700, 1115097, 781198, 
2800, 1204101, 843334, 
2900, 1296846, 908064, 
3000, 1393254, 975336, 
3100, 1493190, 1045060, 
3200, 1596861, 1117374, 
3300, 1704270, 1192280, 
3400, 1815183, 1269622, 
3500, 1929753, 1349502, 
3600, 2047968, 1431912, 
3700, 2169813, 1516842, 
3800, 2295690, 1604560, 
3900, 2424930, 1694620, 
4000, 2557782, 1787188, 
4100, 2694453, 1882402, 
4200, 2834700, 1980100, 
4300, 2979102, 2080668, 
4400, 3127098, 2183732, 
4500, 3279255, 2289670, 
4600, 3434868, 2398012, 
4700, 3594516, 2509144, 
4800, 3757833, 2622822, 
4900, 3924966, 2739144, 
5000, 4096551, 2858534, 
5100, 4271946, 2980564, 
5200, 4451040, 3105160, 
5300, 4634157, 3232538, 
5400, 4821021, 3362514, 
5500, 5011506, 3495004, 
5600, 5206380, 3630520, 
5700, 5404956, 3768604, 
5800, 5607291, 3909294, 
5900, 5813754, 4052836, 
6000, 6024072, 4199048, 
6100, 6238500, 4348100, 
6200, 6456702, 4499768, 
6300, 6679359, 4654506, 
6400, 6905622, 4811748, 
6500, 7135629, 4971586, 
6600, 7369611, 5134174, 
6700, 7607712, 5299608, 
6800, 7849557, 5467638, 
6900, 8095392, 5638428, 
7000, 8345655, 5812270, 
7100, 8599278, 5988452, 
7200, 8857050, 6167500, 
7300, 9119163, 6349542, 
7400, 9384993, 6534162, 
7500, 9654855, 6721570, 
7600, 9928620, 6911680, 
7700, 10206405, 7104570, 
7800, 10488579, 7300486, 
7900, 10774377, 7498918, 
8000, 11064003, 7700002, 
8100, 11357748, 7903932, 
8200, 11655681, 8110754, 
8300, 11957814, 8320476, 
8400, 12263937, 8532958, 
8500, 12574335, 8748390, 
8600, 12888939, 8966726, 
8700, 13207410, 9187740, 
8800, 13530012, 9411608, 
8900, 13857063, 9638542, 
9000, 14188245, 9868330, 
9100, 14523330, 10100820, 
9200, 14862285, 10335990, 
9300, 15205644, 10574196, 
9400, 15552780, 10815020, 
9500, 15904446, 11058964, 
9600, 16260261, 11305774, 
9700, 16620453, 11555602, 
9800, 16984416, 11808044, 
9900, 17353266, 12063844, 
10000, 17725989, 12322326, 
